50338
841	6047	0
229	255	0
2414	2464	0
2414	3861	0
7831	3882	0
2392	4424	0
4828	5340	0
5640	4176	0
6295	964	0
6987	6161	0
5640	1386	0
5781	7695	0
1258	740	0
5781	3555	0
6987	5891	0
821	7136	0
6987	1855	0
1405	1884	0
3704	482	0
3020	3584	0
5640	1107	0
2206	2802	0
2191	5032	0
2191	785	0
229	2410	0
2191	6893	0
821	6315	0
6417	1041	0
5640	1730	0
796	4246	0
1297	5057	0
2392	4375	0
3020	2430	0
2206	6650	0
7248	2829	0
7418	1078	0
7475	491	0
6666	119	0
3020	3334	0
2250	5928	0
1060	1731	0
229	1181	0
3704	3291	0
3020	1385	0
4791	1227	0
7475	446	0
7608	3378	0
6652	4084	0
5781	4357	0
821	3402	0
1753	5780	0
7831	1557	0
6987	4040	0
5640	269	0
628	2144	0
821	4242	0
5781	252	0
5737	4141	0
1378	6132	0
6361	1669	0
5781	4891	0
628	3810	0
229	4095	0
229	6298	0
5640	7323	0
2046	131	0
2955	973	0
1193	1249	0
229	3192	0
1753	1863	0
4565	3929	0
2358	6980	0
6685	6976	0
821	1577	0
796	1001	0
1340	5367	0
1512	7566	0
683	6790	0
5781	3632	0
3020	5160	0
7299	2060	0
155	107	0
2392	2278	0
1955	5615	0
3020	4435	0
3151	4020	0
14	7207	0
821	3727	0
2191	81	0
229	4832	0
3704	7664	0
5640	342	0
902	7188	0
23	3184	0
229	5927	0
6987	1291	0
3256	6850	0
3020	6259	0
23	7392	0
3020	4669	0
3806	3420	0
2191	1484	0
7065	2920	0
4126	709	0
7768	5906	0
3704	7756	0
3020	3139	0
1259	1384	0
229	2284	0
2392	5046	0
1297	7318	0
5640	6347	0
5752	3079	0
5781	1966	0
3704	1023	0
137	1574	0
3529	4971	0
821	1528	0
983	2098	0
1060	573	0
821	7016	0
6441	4935	0
2191	5984	0
1471	2760	0
5640	2404	0
1297	4975	0
821	1045	0
4160	6407	0
2392	3302	0
6114	522	0
821	7162	0
1297	2508	0
229	4650	0
5640	5843	0
2206	4109	0
248	7147	0
3704	4161	0
229	6974	0
3880	5791	0
2608	6471	0
4620	7229	0
6756	7629	0
821	1079	0
23	6167	0
529	7362	0
2206	5162	0
7311	4510	0
3273	5552	0
1343	2067	0
2392	1896	0
2392	6057	0
821	2484	0
6602	6675	0
